Start Time,End Time,Speaker,Text
200.48,201.48,SPEAKER_01, Okay.
201.48,202.48,SPEAKER_01, And let me ask you this.
202.48,207.08,SPEAKER_01, Have you been taking advantage of any of the free content that we offer with our on-demand or our Xfinity.com?
207.08,211.48,SPEAKER_00," Well, I watch the movies here and there, but that's about it."
211.48,212.48,SPEAKER_01, Okay.
212.48,223.08,SPEAKER_01," Because part of the reason why our rates have increased is because we have all these investments going into these new services so that we can offer our services to you where, when, and how you want them."
223.08,227.08,SPEAKER_01, Just making it easier for our customers so you can access the entertainment that you want when you want it.
227.08,228.08,SPEAKER_00, Okay.
228.08,230.08,SPEAKER_00, So I am getting more services then.
230.08,231.08,SPEAKER_01, Definitely.
231.08,232.08,SPEAKER_00," Oh, that's awesome."
232.08,233.08,SPEAKER_00," All right, Allison."
233.08,235.08,SPEAKER_00, That's all I was concerned about.
235.08,236.08,SPEAKER_00, Thank you for your time.
236.08,237.08,SPEAKER_01, You're welcome.
237.08,238.08,SPEAKER_01, You have a great day.
238.08,239.08,SPEAKER_00, You too.
239.08,240.08,SPEAKER_00, Bye.
240.08,241.08,SPEAKER_01," Bye bye,"
