Person,Text
C,"Oh yes, that's mine."
C,I did that yesterday and it just posted recently here.
A,"Your debit card is safe, no unauthorized transaction so I'm closing it now tagging is as lost."
A,Would you like a replacement over the phone?
A,It's free of charge.
C,"Sure, how long will it take?"
A,"It will be delivered in 10 business days and while you're waiting for your new card, you may go to any branch to do an over to counter withdrawal."
A,Just bring two valid IDs.
C,That's fair enough.
A,Just a couple of reminders Miss Portman.
A,Your new debit card will have a new card number but the account number and PIN will remain the same.
A,Just call us right away once you receive it so that we can activate it for you and everything's good.
A,The replacement has been processed and have I address all your concerns?
C,"Yes yes, you did."
C,Thanks so much for your help.
A,My pleasure and thank you for calling Grand Number One.
A,Enjoy the rest of your day.
A,It's a great day here at our hotel I'm Rebecca.
A,How can I assist you?
A,Hi Rebecca.
C,I'm wondering if you can reserve me a room.
C,My friends and I are staying for a trip.
A,I'll be happy to check that for you.
A,May I have your name?
C,Pauline Soupe.
A,Thank You Pauline
A,How many of your friends are staying?
C,"Two, so there are three of us."
A,Do you prefer to stay in one room or separate rooms?
C,One room.
A,"Alright, let me check if you have an available room for what days?"
C,September 5 to 7
A,"Thank you, so, there is one available premium room that is good for three people with three separate beds."
A,"It comes with free Wi-Fi cable channels, minibar and mini kitchens."
A,That's 99 dollars per night.
C,Okay.
A,There's also a deluxe room available that has the same amenities as premier except that it has its own swimming pool.
A,That costs $150 per night.
A,Which one you prefer?
C,Oh well we're just staying to sleep in so I'll take the premier.
C,Does it come with free breakfast?
A,Yes there's free breakfast.
A,Are you going to reserve today?
C,"Yes, please."
A,May I have the names of the guests?
C,Pauline Sue and my friends Andrea Smith and Alexis Washington
A,"Great, so you will check in on September 5 at 2 p.m. and check out on September 7 12 noon."
A,"So that's 2 nights for $198 and we have to add the taxes, so the total amount is 217 dollars and 56 cents."
C,"Thank you, so should I pay now or what?"
A,"That's right, you should."
A,"Yes, you should actually pay now."
A,"Alright, so just to recap I have already reserved the premier room for you for two nights on September 5 to 7 with total cost two hundred and seventeen dollars and 56 cents."
A,This is actually considered booked.
A,"If you decide to cancel within 15 days before your check-in date, there will be no cancellation fee and the money will be refunded to you in 10 business days. "
A,"But, if you can so within three days before your check-in date, half of the total amount will be forfeited, while, if you cancel within 24 hours before check-in the total amount will be forfeited."
A,Do you have any other questions Pauline?
C,"No, that sounds great."
A,You're welcome.
A,Thanks for calling our hotel.
A,We look forward to your enjoyable stay. 
A,Bye.
A,"Hi, thank you for calling X Y Z."
A,My name is Ashley. 
A,How may i help?
C,You just cut off my internet connection and this is not the first time this happened!
C,Why are you cheating on me? You're getting my money and you're cutting me off!
A,Sorry for the inconvenience ma'am.
A,I understand that is really frustrating.
A,May I have your account number please?
C,"Sorry, you are always sorry, but you're not doing anything!"
C,Never!
C,"You have to fix this now, fix this now!"
A,"Yes, yes, ma'am. I will do my best."
A,May I have your account number so that I can check your account?
C,"Five three four zero zero three, six five four eight"
A,"I'm sorry, you were a bit too fast. ."
A,Can you please?
C,Oh my god.
C,I can't believe you.
C,I said five three four zero zero three six five four eight.
A,"I'm sorry, is that five three four zero zero three six five"
C,"Four eight, got it?"
A,"Okay, got it."
A,Thank you.
A,"For verification purposes, can I get your name and birth date, please?;"
C,"Karen America, September 15 1985."
C,The account is under my name.
C,Hello?
A,"Hello, I'm still here ma'am."
A,Sorry. I'm still checking some information.
C,Why is it taking you so long?
C,Don't you guys already know this stuff?
C,You keep fooling people.
C,You must know what to do already.
A,"Okay, according to our systems data you did pay your last bill last October 20, which was two days ago in one of our affiliated payment centers."
A,"Unfortunately when you pay through that affiliated center, it takes about 2 to 3 business days more to complete the payment processing."
A,So that means that the system considered the payment as still pending and not completed yet.
A,"So the connection has been cut off, but."
C,Are you kidding me?
C,Why have affiliated payment centers when you can't even process the payment on time?
C,So it's my fault?
C,You guys told me I could pay at affiliated centers and that's what I did and now I'm at fault.
C,"Now, I can't continue with my online job because of you or actually because of me?"
C,That's ridiculous!
A,"I am really sorry, Miss America."
A,I understand your situation is very tough right now.
C,"Really, huh?"
A,"But, what I can do is to open a ticket or submit a report so that the other department assigned can manually complete your payment and reconnect your internet."
A,I just need the payment ID number ma'am and which center did you make the payment?
C,Why do you have to ask for that? 
C,You just said so yourself you've seen my payment as pending?
A,"Yeah, and just want to verify it."
C,"At the Strawberry Mall, my payment ID. Hold on a second. One one one two eight five six nine seven four."
A,"Thanks so much for your patience, Miss America."
A,I'm going to submit the report
C,"Please just stay on the line for a minute, Ma'am."
A,"I'm done with the report, please expect to have your connection reinstated within 24 hours."
A,We will send you a text message as well to your phone number and file.
C,Within 24 hours?
C,Can you make it faster than that?
A,"As much as I'd love to that has been a turnaround time for reconnection since then, so to give enough time for the team to manually complete the payment."
C,"Okay fine, as if I have a choice."
A,"Again, I'm really sorry."
A,Is there anything else?
C,"Nothing, just make sure you reconnect my line as soon as possible."
A,"Bye, yes, ma'am. "
A,Thank you for calling XYZ.
C,Hello.
A,Hello.
A,Good morning. 
A,My name is Kate.
A,"Calling from deluxe credit card, may I speak with miss Anastasia Robinson?"
C,"Yes, this is her."
A,"Hi, good morning Miss Robinson."
A,I'm calling because deluxe credit card actually has a good news for you.
A,Do you have 5 to 7 minutes to talk?
C,"Okay, go ahead"
C,Thank you.
A,So we are well aware that you have been a valued customer of deluxe for 8 years now. 
A,"And, we would like to reward you with a platinum MasterCard that has amazing benefits and free annual fee for life."
A,How does that sound to you?
C,Thank you. Appreciate it.
C,So what do I get from that platinum?
A,Yes ma'am.
A,The Platinum MasterCard is a highly prestigious card for highly career oriented individuals like you.
A,"This card has non-expiring rewards points, free travel insurance up to $20,000, repurchase protection up to $1000, free access to the sky view lounges in different airports locally and abroad, up to five supplementary card. holders with free annual membership fees for life."
A,"And as mentioned, your annual fee will automatically be waived as well."
A,Of course it also has a higher credit limit than your usual plastic or regular credit cards.
A,Ok that sounds good?
C,Sounds great.
A,"Since you are already pre-approved, I just need to confirm your building address, phone number and email address."
C,"Ok, my building address is apartment 152, Emerald Building, Rock Street Los Angeles, California."
C,Email is annarobinson@aol.com.
C,And my phone is 2138970362.
A,"Got it, thank you so much."
A,I'll have this submitted and please expect your card in 10 business days and don't hesitate to call our toll-free number for any assistance.
A,"Welcome, thank you so much, bye."
C,"Thank you, bye."
A,Thanks for calling quick Internet.
A,My name is Anna.
A,Can I have your phone number or your account number please?
C,Your who?
C,What?
C,"Can you speak a little slower, would you?"
A,Anything for you.
A,"So, I would say my name is Anna."
A,Can I have your account or phone number please?
C,My account is 4 5 6 7 8 9 1 5 6 0.
C,I just want to say Anna that I thought you are quick Internet but look at what you did.
C,Why can't I access my internet today?
C,I can't play my games.
A,Oh that's very inconvenient.
A,"I understand how you feel, your friends online might already be waiting for you but don't you worry, you've got the right person on the line to help you."
A,May I know the name of the account?
C,What? What's that?
C,"I feel like you're under water, are you?"
A,"Oh no, I'm sorry about that it could be my phone connection."
A,Let me fix it in 3 seconds here.
A,Can you hear me ok now?
C,"Yeah, a lot better."
A,Sounds great so I was saying may I know the name on the account?
C,My name?
A,"Yes, if the account is under your name."
C,"Yes, it's Anjoe Jones."
A,Thank You Mr. Jones.
C,What did you say?
A,Oh I just said thank you Mr. Jones.
A,"So, you mentioned you don't have internet today. "
A,"Shows here that you don't have a DSL signal, that's why.you cannot connect"
A,We can actually fix this over the phone and I'd be glad to walk you through.
A,Would that be fine?
C,I already did everything before I called.
A,That's great.
A,"Let me ask, can you please check your modem now and tell me which lights are on?"
C,Seriously!
C,"Okay, I have to go back to my brother's room."
A,Please check.
C,"Okay., the rest of the of the lights are green but the DSL was red."
A,"Alright, clearly, there is something wrong with your signal which is highly likely connected to your cell phone service."
A,Can you please check again your telephone cord is connected to your modem?
C,"Wow, so I have to go back again?"
A,"Don't worry, that's the last thing we have to check if the cord is indeed not connected tightly plug it back into your modem and everything should be good so that we do not have to call a technician to check out what's wrong with the modem."
C,"Okay fine, just don't hang up!"
A,Of course! I won't.
C,I just found out the cord was disconnected.
C,Probably my brother.
C,I can see the DSL light is green.
A,Oh that's good to know.
A,Can you try accessing some website?
C,Okay I can access my online games now and Facebook too.
C,"Yeah, I think you solved it."
A,My pleasure to assist you.
A,Have I addressed your concerns?
C,You sure did.
C,I'll tell my brother.
C,Thank you.
A,Thanks for calling Quick Internet.
A,Once again this is Anna.
A,Have a wonderful day.
A,Thank you for calling Sprites.
A,My name is Rhea.
A,How can I help you today?
C,"Hi, my name is Francis and I have a question about my bill."
A,Oh hi Francis.
A,I'll be glad to answer any questions that you have about your bill.
A,May I have the account number or the phone number of the account?
C,Ok the account number is 1 2 3 4 5.
A,Great! Thank you. 
A,"So, may I know what your question is?"
C,"Oh it's like this, last month, my bill was $25 but for this month it shows that I need to pay $35."
C,What's going on?
A,Oh I see.
A,"I understand sometimes looking at your bill can be quite confusing. So, let me check your account and let's go through this together ok?"
A,By the way do you have a copy of your bill right now?
C,Um yes.
A,That's great.
A,Let's go over your bill together and see the difference.
A,"Upon checking your account., yes, you're right."
A,The bill last month was $25 however this billing period there is an additional charge of 10 dollars for a data usage that totals to 3 gigs.
C,Ok. I really thought that my plan included data.
A,"Well, no, it does not."
A,But I will be happy to add a data to your plan.
A,For only five dollars more you get 10 gigs of data and it's more value for your money considering the current situation.
A,How does that sound to you?
C,Um okay that sounds good.
A,"That's good, so I'll add the data plan to your account right away and since you are a valued customer, I will also take care of the $10 charge for you."
C,I mean that's great.
A,So let me just process the reversal real quick okay and it's done so let me just recap everything we have talked about the $10 charge.
A,I have added a data plan of 10 gigs to your account so that's going to be $5 more in addition to the $25 that you are already paying every month and the $10 charge for this billing period was already reversed.
C,"It's strictly appreciated, thank you."
A,You're welcome and just to let you know you can also check your data usage by texting data to 777.
A,"So, have I addressed all your concerns today?"
C,Yes you have.
A,Well it's been my pleasure to assist you Francis.
A,"Once again, my name is Rhea."
A,Thank you for calling Sprite and hope you have a great day
C,"Do the same, bye bye."
A,Thank you for calling Life Member Services.
A,This is Raya.
A,How can I help you today?
C,I have a question about something I received in a mail.
A,"Sure, I'll be glad to assist you with that mail."
A,Can you please tell me more about the mail you received?
C,"Well you see it's like this: a couple weeks ago, I was involved in an accident and I was rushed to hospital but I feel better now anyways."
C,I was under the impression that my insurance or you guys will cover the whole bill but this paperwork says something else.
A,I am sincerely glad to know that you're all good now.
A,I will be happy to check your account so that I can help you better.
A,May I have your complete name and member ID?
C,"Peter Porter, ID Number is 6757897."
A,Thank you Peter.
A,How about your date of birth and address?
C,It's May 12 85. 
C,"321, First Street, LA."
A,Thank you.
A,"Let me check your account real quick, ok?"
C,Ok.
A,"I've been checking here Peter, it shows that a claim for $1000 was paid last week that was August 12 and that it says that it actually covers your entire bill."
A,"By the way that letter that you received, on the topmost right part, does it say this is not a bill?"
C,Oh well!
C,"Now that you mention it, it does say this is not a bill."
A,"Ok, that's good to know because what you have there is an EOB or an explanation of benefits."
A,It should show the breakdown of the charges and the amount that we your insurance paid for.
A,"So you see every time a claim is processed, you will get that information for transparency see and I truly apologize for the confusion that this letter has cost you."
C,Ah see.
C,That's good because you know I still have some medicine to buy and the last thing that I want right now is to pay another bill.
A,I know I understand I'm glad to clear things up for you and again no need to worry about the hospital bill we took care of it for you.
A,"Just take care of yourself, okay?"
C,"Well, okay."
C,Thank you so much.
A,Have I addressed your concerns today?
C,Yes. you have. Oh I'm just happy everything is paid for.
A,"Yes, it is."
A,"Well Peter, if there's nothing else, thank you so much for choosing Life Member Services."
A,You take care and I'm wishing for your speedy recovery
C,Thank you.
A,Great day here at Amazing Flowers.
A,This is Rael.
A,Would you like to place an order?
C,"Yeah, I'd like to place an order for a bouquet of red and white roses."
A,I'll be happy to order the bouquet for you.
A,Can I have your name please?
C,Amanda Bynes
A,Thank You Amanda.
A,"So, just to confirm your order is a bouquet of red and white roses that's going to be $45."
A,Would you like to add a pack of Hardy chocolates?
A,You only need to add seven dollars more for that.
C,Okay sounds good.
C,"Yes sure, I'll get that."
C,Will it be delivered by tomorrow?
A,"Since it's already after the cutoff of orders, the package will be delivered the next day, Wednesday."
C,"Okay, that's fine!"
A,Perfect.
A,Can I please have the name and a shipping address for the order?
C,Diana Ross.
C,"Her address is seven eight nine, North Henderson Road, Philadelphia PA and the zip code is one nine four zero six."
A,Thank you.
A,"Would you like to charge that on Visa, Mastercard or American Express?"
C,"Visa, the number is 4293465436245682."
A,"Thank you, and, the expiration date and CVV code please."
C,Expiration date is January 2020 and the CVV code is  458.
A,"Alright and, can I have the billing address of your card please?"
C,"Sure, it's 3421, 4th avenue, Sacramento California 94235."
A,Thank You Amanda.
A,"All I need now, is the email address for the order and your mobile number and we're all set."
C,That's missamandabynes@gmail.com.
C,My number is 3103450984.
A,Let me repeat that.
A,That's miss Amanda Bynes.
A,That's M I S S A M A N D A B Y N E S.
A,"So that's Miss Amanda Bynes, your first name and your last name @ gmail.com and number is 3 1 0 3 4 5 0 9 8 4."
A,Is that right?
C,That's right.
A,Right so your order has been processed.
A,That's one bouquet of red and white roses with one pack of hardy chocolates.
A,That's a total of $52.
A,It will be delivered this on Wednesday and you will receive an electronic receipt to your email address and a notification to your mobile.
A,"And, today is the last day of free shipping, so it's good that you will not have to pay a delivery fee at all."
A,Do you have any questions for me?
C,No more.
C,Thank you.
A,My pleasure.
A,Thank you so much for your order Amanda.
A,Have a great evening.
A,"Hello, Good Morning."
A,Thank you for calling PLDC customer service.
A,This is Christine speaking.
A,How may I help you?
C,You just got off my internet connection and this is not the first time this happened.
C,How is that you're getting my money and you're cutting me off?
A,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
A,"I understand that it is very frustrating and to work out on your problem about the abrupt disconnection, is that right sir?"
C,"Yes,you just disconnected me."
C,That's what I said.
A,"But first, give me your account number sir."
C,"Okay, my account number is 4451147619."
A,"Okay sir, I got it and for verification you will need your name and your birthday"
C,"I am Matthew Sobremonte and I am born on November 1, 1999."
C,"And, yes I am the account holder."
A,"Thank you, just a minute sir,  I'll just look at our data."
A,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers."
A,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet."
A,"So, the connection has been cut off. But."
C,Are you kidding me?
C,I need it as soon as possible.
A,I understand that your situation is very tough right now.
A,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible. "
A,"And to make it possible sir, I just need your payment ID."
C,Okay so my payment ID is 19216811.
C,Did you get it?
A,"Yes sir, thank you."
A,I am now doing the report and will submit it as soon as I finish this.
A,Please stay online for a minute Mr. Sobremonte.
C,"Okay I will, thank you."
A,"Hello sir, kindly expect to have your reconnection within 24 hours."
A,We will send you a text message informing that you have already paid and connected to the internet service to your phone number.
C,Thank God for that!
C,I am furious because I really need internet connection.
A,"Again sir, I'm terribly sorry."
A,Is there anything else I can help you with sir?
C,I don't need anything else.
A,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection."
A,Have a great day sir.
C,Okay thank you.
A,Bye.
A,Thank you for calling Martha's flowers.
A,How may I assist you?
C,"Hello, I'd like to order flowers and I think you have what I'm looking for."
A,I'd be happy to take care of your order.
A,May I have your name please?
C,Randall Thomas
A,Can you spell that for me?
C,"Randall R A N D A L L, Thomas T H O M A S"
A,Thank you for that information Randall.
A,May I have your home or office number area code first?
C,4 0 9 8 6 6 5 0 8 8
A,That's 4 0 9 8 6 6 5 0 8 8.
A,Do you have a fax number or email address?
C,randall.thomas@gmail.com
A,May I have your shipping address?
C,"800, Gladys Avenue, Beaumont, Texas. Zip Code is 77706"
A,Thank you for the information.
A,What product are you interested in purchasing?
C,"Red roses, probably a dozen."
A,"A dozen of red roses, do you want long stems?"
A,"Alright Randall, let me process your order. One moment please."
A,Okay Randall. we are ordering one dozen of long-stemmed red roses.
A,The total of your orders is $40 and it will be shipped to your address within 24 hours.
C,When will you be delivering my roses again?
A,Within 24 hours.
C,"Okay, no problem."
A,Is there anything else I can help you with?
C,"That's all for now, thanks."
A,No problem Randall.
A,Thank you for calling Martha's Flowers.
A,Have a nice day.
A,Thank you for calling to Delonix.
A,This is Nina speaking.
A,How can I help you today?
C,"Hi, I'm just in your website and I know you've got a special on your seventeen spotlights and I wanted to place in an order if there's still available place."
A,Sure. I will be happy to assist you.
A,Can I start with your name please?
C,Jeremy Logan.
A,Thank you Mr. Jeremy and did you want the invoice made out in your name or your company name?
C,My name is fine.
A,"Okay, no problem and can I get the delivery address please?"
C,"It's 123, Blue Ridge Crescent, Bonneville, 2106, NSW."
A,Thank You Mr. Logan.
A,And do you have an email address so I can send your receipt and online tracking too?
C,"Yes, it's jeremymorgan@gmail.com."
A,"Great, now 217 spotlights are available in 35 watts or 55 watts, which one do you want?"
C,The 55 watts ones please.
A,All right and do you know what colour temperature you want for the vaults?
C,"Yeah thinking that 6000k ones, that's the bluish colour right?"
A,Yes 6000k is slight white which is a blue tinge.
A,"Okay, Thank you, now, for the postage, we have registered post or express post."
A,Which one are you interested in?
C,How much are each please?
A,"Sure, registered post is $12.45 and the delivery time is 3 to 5 business days or express post is $18.85 and delivery time is 1 to 2 days."
C,"Okay, I'll take the Express post."
A,"Great, so all I need now is your visa or MasterCard details please?"
C,Okay it's a Visa card and the number is 43211234567821234.
A,And the expiry please?
C,1/10/2014.
A,Thank you for that.
A,"And, can you also grabbed the security number on the card?"
A,It's the last 3 digits on the back of the card.
C,"Yeah, that would be 123."
A,"Great, let me just repeat those details to you."
A,"It's a Visa card number 43211234567821234, expiry 10/14 and CCV is 123."
C,Yep.
A,"Okay great, thank you Mr. Logan."
A,"So we have one pair of seven-inch spotlights and 55 watt 6000k going to Jeremy Logan at 123, Blue Ridge Crescent, Bonneville, 2106, NSW and that will be shipped out today."
C,Perfect.
A,"Once your order has been shipped, Jenny will email your online tracking number but you should receive your order before 12 o'clock tomorrow, Sydney time."
C,Right.
A,Is there anything else that I can help you with Mr. Logan?
C,"Oh that's fine, thank you."
A,You're welcome and thank you very much for choosing Delonix and enjoy the rest of your afternoon.
C,You too.
A,"Thank you, bye."
A,Thank you for calling Amazon customer services.
A,This is Georgina.
A,How can I help?
C,"Hi Georgina, this is Brian."
C,I'm calling because I haven't received my item yet.
A,"Hello Brian, I'm really sorry if you haven't received your parcel."
A,"No worries, since you have me on the line, I'll be more than willing to assist."
C,Oh okay.
A,"Alright, for security purposes, can I have the complete name on the account?"
C,"Sure, it's Brian Johnson."
A,"Okay, can I also have your email address?"
C,"Sure, it's brian205@yahoo.com."
A,Thanks for verifying those information to me.
A,Let me proceed to your account.
A,"It seems that you are referring to Meets Attack 500x5, am i right?"
C,"You've got it right, Georgina."
A,"Cool, based on the information here yeah, it already passed the estimated delivery date."
A,"It is quite late for a week already. Since the item is shipped and sold by amazon, we can process a full refund or a replacement."
A,Which one would work for you?
C,I really wanted to get the item as soon as possible.
C,I chose the free shipping to save shipment fees.
C,"However, I didn't expect that it will come later than expected."
A,I'm really sorry for the inconvenience Brian.
A,"To compensate, I can request a refund for that order and process a replacement right now."
A,"Then, expedited to one day shipping without additional cost for the shipping."
C,"Really, you can do that for me?"
A,"Yes, of course."
A,Let me process your order.
A,One moment please.
C,"Thanks, please take your time."
C,May I know how in the world can I receive my refund?
A,"Brian, the refund was already requested."
A,Expect to receive the refund within two to three business days.
A,It will be credited back to the original payment method you use in placing the order.
A,"Also, I've already processed the replacement you can have the item by today until tomorrow."
A,Then the confirmation regarding our conversation will be sent to your account.
A,"If you want, I can also help you track your order and reach you back tomorrow just to make sure that you are receiving the item within the expected date."
C,Yes please.
A,"Great, can I have your phone number?"
C,"Sure, it's 3143463534543."
A,"Got it, thanks."
A,Expect my call tomorrow.
C,I will.
A,"Aside from this, is there anything else that I can help you with?"
C,"No, you're doing great great."
C,I really appreciate it.
A,"Thank you, Brian."
A,I think we are all set.
A,"For other queries, feel free to visit our help pages."
A,Thank you for calling amazon and have a nice day.
C,"Thank you so much, goodbye."
A,Thank you for calling Rex Global customer service.
A,This is Megan. 
A,How can I help you?
C,"Hi Megan, I'm calling because i was charged a dollar like out of nowhere."
C,What is this a scam?
C,Can you help me or can someone from there explain what's happening?
A,I am sorry to hear about a dollar charge in your account.
A,But don't you worry. I can definitely help you with that.
C,Oh okay.
C,"Well, let's see."
A,"Alright, Can you start with your name please?"
C,Yeah sure.
C,Max Hermit.
A,Thank you.
A,How about your email address?
C,"Yeah, Uh, it's max_hermit001@gmail.com."
A,Thank you.
A,Let me proceed to your account.
A,"Max, when you place your first order, Rex Global contacts your issuing bank to confirm the validity of the payment method."
A,It is not an actual charge but a one dollar authorisation hold.
C,"Seriously, for how long will it take?"
A,"Well, it isn't that long, most often, it takes 1 to 2 business days."
A,The authorisation will be removed from your account once a transaction is already processed.
C,"Oh okay, that's a relief."
C,I mean now I understand.
C,"I appreciate that, thanks."
A,You're most welcome.
A,I can also send a confirmation regarding this call for your reference.
C,I appreciate it.
A,"Aside from this, is there anything else that I can assist?"
C,"No, I think we are good."
C,Thanks a lot Megan.
A,I'm really glad to help!
A,"You may also see the help pages for other queries, Max."
A,Thank you for calling Rex Global and have a nice day.
C,You too.
C,Have a good one!
A,Goodbye.
A,Thank you for calling JP International.
A,This is Carla.
A,Can I have your name please?
C,"Hi Carla, I'm Athena."
A,Hello Athena.
A,How are you today and how can I assist?
C,I am really frustrated right now.
C,I'm calling because I ordered an item last Monday from your store.
